Comment,Designator,Footprint,JLCPCB Part #（optional）
1u,C1,C_0805,C215803
0.1u,"C4,C5,C2,C3",C_0805,C128353
4.7u,C6,C_0805,C131056
D,"D73,D72,D71,D67,D63,D59,D58,D57,D56,D53,D51,D50,D27,D42,D18,D25,D41,D36,D31,D40,D37,D32,D34,D21,D26,D22,D24,D43,D38,D35,D48,D54,D44,D62,D39,D20,D28,D33,D23,D55,D52,D19,D10,D14,D9,D13,D11,D15,D17,D16,D12,D7,D3,D5,D8,D6,D4,D74,D49,D46,D29,D1,D47,D2,D61",D_0805,C109001
Polyfuse,F1,R_0805,C261942
HRO-TYPE-C-31-M-12,J1,HRO-TYPE-C-31-M-12,C165948
ai03_ud,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
22,"R1,R2",R_0805,C413250
5.1k,"R4,R3",R_0805,C212411
10k,"R6,R5",R_0805,C103904
SW_PUSH,SW1,SW_SPST_TL3342,C92584
ATmega32U4,U1,ATMEGA32U4,C44854
USBLC6-2SC6,U2,USBLC6-2SC6,C7519
XTAL_GND,X1,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,C341521